순서,시군구코드,시군구,위도,경도
1,11320,도봉구,37.665861 ,127.031767 
2,11380,은평구,37.617613 ,126.922700 
3,11230,동대문구,37.583801 ,127.050700 
4,11590,동작구,37.496504 ,126.944307 
5,11545,금천구,37.460097 ,126.900155 
6,11530,구로구,37.495486 ,126.858121 
7,11110,종로구,37.599100 ,126.986149 
8,11305,강북구,37.646995 ,127.014716 
9,11260,중랑구,37.595380 ,127.093967 
10,11680,강남구,37.495985 ,127.066409 
11,11500,강서구,37.565762 ,126.822656 
12,11140,중구,37.557945 ,126.994190 
13,11740,강동구,37.549208 ,127.146482 
14,11215,광진구,37.548145 ,127.085753 
15,11440,마포구,37.562291 ,126.908780 
16,11650,서초구,37.476953 ,127.037810 
17,11290,성북구,37.606991 ,127.023219 
18,11350,노원구,37.655264 ,127.077120 
19,11710,송파구,37.504853 ,127.114482 
20,11410,서대문구,37.582037 ,126.935667 
21,11470,양천구,37.527062 ,126.856153 
22,11560,영등포구,37.520641 ,126.913924 
23,11620,관악구,37.465399 ,126.943807 
24,11200,성동구,37.550675 ,127.040962 
25,11170,용산구,37.531101 ,126.981074 
